%time,field.header.seq,field.header.stamp,field.header.frame_id,field.level,field.name,field.msg,field.file,field.function,field.line,field.topics0
1583762851049642410,21,1583762846751853568,,2,/record_1583762844457081538,Subscribing to /rosout,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851049646892,22,1583762846933784293,,2,/record_1583762844457081538,Subscribing to /robomuse_diff/parameter_updates,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851049765627,23,1583762847120370178,,2,/record_1583762844457081538,Subscribing to /rmotor_current,/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,212,/rosout
1583762851049780674,0,1583762818361041729,,4,/robot_state_publisher,The 'state_publisher' executable is deprecated. Please use 'robot_state_publisher' instead,/tmp/binarydeb/ros-kinetic-robot-state-publisher-1.13.7/src/joint_state_listener.cpp,main,171,/rosout
1583762851049797871,0,1583762818585961988,,2,/laser_scan_matcher_node,Starting LaserScanMatcher,/tmp/binarydeb/ros-kinetic-laser-scan-matcher-0.3.2/src/laser_scan_matcher.cpp,LaserScanMatcher::LaserScanMatcher,53,/rosout,/tf
1583762851049807547,13,1583762817740522536,,2,/robomuse_hw,Dynamic Reconfigure:
DynamicParams:
	Odometry parameters:
		left wheel radius: 1
		right wheel radius: 1
		wheel separation: 1
	Publication parameters:
		Publish executed velocity command: 0
		Publication rate: 10
		Publish frame odom on tf: 1,/tmp/binarydeb/ros-kinetic-diff-drive-controller-0.13.6/src/diff_drive_controller.cpp,DiffDriveController::reconfCallback,700,/rosout,/lmotor_cmd,/rmotor_cmd,/lwheel_ticks,/rwheel_ticks,/robomuse_diff/odom,/tf,/robomuse_diff/parameter_descriptions,/robomuse_diff/parameter_updates
1583762855088886614,11,1583762855085732120,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855088937382,12,1583762855085832826,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.230138,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855088956419,13,1583762855085900641,,2,/odometry_calibration_service,No. of Values at point P1= 4,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855286452892,14,1583762855285691604,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855286469578,15,1583762855285869655,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.229955,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855286481829,16,1583762855286039966,,2,/odometry_calibration_service,No. of Values at point P1= 5,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855487499125,17,1583762855485724843,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855487514456,18,1583762855486043839,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.229693,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855487526922,19,1583762855486127729,,2,/odometry_calibration_service,No. of Values at point P1= 6,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855686689286,20,1583762855685697753,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855686705887,21,1583762855685781379,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.229588,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855686721018,22,1583762855685849428,,2,/odometry_calibration_service,No. of Values at point P1= 7,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855886436917,23,1583762855885697951,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855886467719,24,1583762855885794452,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.229462,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762855886482060,25,1583762855885860786,,2,/odometry_calibration_service,No. of Values at point P1= 8,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856086447499,26,1583762856085657691,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856086457988,27,1583762856085734456,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.229239,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856086468072,28,1583762856085790612,,2,/odometry_calibration_service,No. of Values at point P1= 9,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856286166744,29,1583762856285668909,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856286449634,30,1583762856285758266,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.229072,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856286480653,31,1583762856285817643,,2,/odometry_calibration_service,No. of Values at point P1= 10,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856486351099,32,1583762856485693923,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856486366735,33,1583762856485801210,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.228939,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856486395867,34,1583762856485886335,,2,/odometry_calibration_service,No. of Values at point P1= 11,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856687365528,35,1583762856685697978,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856687380034,36,1583762856685793984,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.228799,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856687393845,37,1583762856685869144,,2,/odometry_calibration_service,No. of Values at point P1= 12,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856886455881,38,1583762856885665091,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856886486743,39,1583762856885751086,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.228657,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762856886521850,40,1583762856885922877,,2,/odometry_calibration_service,No. of Values at point P1= 13,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857086242993,41,1583762857085686238,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857086259309,42,1583762857085863554,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.228547,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857086320408,43,1583762857086039435,,2,/odometry_calibration_service,No. of Values at point P1= 14,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857286422852,44,1583762857285687581,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857286446719,45,1583762857285861782,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.228441,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857286460935,46,1583762857286040178,,2,/odometry_calibration_service,No. of Values at point P1= 15,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857486576215,47,1583762857485689489,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857486610457,48,1583762857485773639,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.228377,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857486624733,49,1583762857485834318,,2,/odometry_calibration_service,No. of Values at point P1= 16,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857687048982,50,1583762857685681586,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857687087445,51,1583762857685775917,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.228254,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857687105046,52,1583762857685841516,,2,/odometry_calibration_service,No. of Values at point P1= 17,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857886413765,53,1583762857885714596,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762857886449407,54,1583762857885844184,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.228181,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858086305547,55,1583762857885927319,,2,/odometry_calibration_service,No. of Values at point P1= 18,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858086323248,56,1583762858085670612,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858086338959,57,1583762858085749597,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.228043,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858286938208,58,1583762858085927543,,2,/odometry_calibration_service,No. of Values at point P1= 19,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858286969200,59,1583762858285726136,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858287048600,60,1583762858285944775,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.227926,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858287118214,61,1583762858286046556,,2,/odometry_calibration_service,No. of Values at point P1= 20,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858486663741,62,1583762858485706510,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273692,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858486680472,63,1583762858485792651,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.227804,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858486737140,64,1583762858485852304,,2,/odometry_calibration_service,No. of Values at point P1= 21,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858686413865,65,1583762858685682589,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273693,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858686429186,66,1583762858685778610,,2,/odometry_calibration_service,Hok_x avg at P1 = 1.227715,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,333,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858686480890,67,1583762858685850825,,2,/odometry_calibration_service,No. of Values at point P1= 22,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,334,/rosout,/robomuse_diff/cmd_vel,/point_vals
1583762858886215019,68,1583762858885674965,,2,/odometry_calibration_service,Enc_x avg at P1 = 1.273693,/home/shashwat/rm100/robomuse_v/src/robomuse_calibration/src/odometry_calibration_service.cpp,get_factors,332,/rosout,/robomuse_diff/cmd_vel,/point_vals
